Pit,Min Rev Ftr,Max Rev Ftr,Rock Tonnes,Ore Tonnes,Strip Ratio,Max Bench, Min Bench,Limestone Units,Limestone Grade
1,0.3,0.3,1156606200,925823935,0.25,22,1,4.17E+10,45.006
2,0.32,0.32,1167565500,927255847,0.26,22,1,4.17E+10,45.006
3,0.34,0.34,1170860400,927674647,0.26,22,1,4.18E+10,45.007
4,0.36,0.36,1177276950,928457036,0.27,22,1,4.18E+10,45.008
5,0.38,0.38,1178977500,928631200,0.27,22,1,4.18E+10,45.008
6,0.4,0.4,1183994550,929101621,0.27,22,1,4.18E+10,45.009
7,0.42,0.42,1190290050,929708051,0.28,22,1,4.18E+10,45.009
8,0.44,0.44,1194099750,930048747,0.28,22,1,4.19E+10,45.009
9,0.46,0.46,1194840450,930114282,0.28,22,1,4.19E+10,45.009
10,0.48,0.48,1196797500,930290690,0.29,22,1,4.19E+10,45.01
11,0.5,0.5,1197545400,930360715,0.29,22,1,4.19E+10,45.01
12,0.52,0.52,1198565550,930448245,0.29,22,1,4.19E+10,45.01
13,0.54,0.54,1200201300,930577970,0.29,22,1,4.19E+10,45.01
14,0.56,0.56,1205898300,930983753,0.3,22,1,4.19E+10,45.011
15,0.58,0.58,1210333500,931260260,0.3,22,1,4.19E+10,45.011
16,0.6,0.6,1217985750,931756267,0.31,22,1,4.19E+10,45.012
17,0.62,0.62,1221349050,931968585,0.31,22,1,4.19E+10,45.012
18,0.64,0.64,1222907850,932067337,0.31,22,1,4.20E+10,45.012
19,0.66,0.66,1224473850,932162499,0.31,22,1,4.20E+10,45.012
20,0.68,0.7,1226942550,932311974,0.32,22,1,4.20E+10,45.012
21,0.72,0.72,1227136050,932323645,0.32,22,1,4.20E+10,45.012
22,0.74,0.74,1227403800,932338458,0.32,22,1,4.20E+10,45.012
23,0.76,0.78,1228591800,932400403,0.32,22,1,4.20E+10,45.012
24,0.8,0.8,1228995000,932419255,0.32,22,1,4.20E+10,45.012
25,0.82,0.84,1229871150,932466387,0.32,22,1,4.20E+10,45.012
26,0.86,0.88,1231667100,932549429,0.32,22,1,4.20E+10,45.012
27,0.9,0.9,1232546850,932593868,0.32,22,1,4.20E+10,45.012
28,0.92,0.92,1233943650,932656710,0.32,22,1,4.20E+10,45.012
29,0.94,0.94,1234448550,932680052,0.32,22,1,4.20E+10,45.012
30,0.96,0.96,1235039400,932704291,0.33,22,1,4.20E+10,45.013
31,0.98,1,1236047400,932741997,0.33,22,1,4.20E+10,45.012
32,1.12,1.12,1236249000,932748281,0.33,22,1,4.20E+10,45.012
33,1.14,1.14,1239071400,932836260,0.33,22,1,4.20E+10,45.012
34,1.16,1.16,1244385000,933006833,0.33,22,1,4.20E+10,45.013
35,1.18,1.18,1252253700,933251919,0.34,22,1,4.20E+10,45.013
36,1.2,1.2,1254471300,933321045,0.34,22,1,4.20E+10,45.013
37,1.22,1.22,1257881850,933426980,0.35,22,1,4.20E+10,45.013
38,1.24,1.24,1259892000,933489373,0.35,22,1,4.20E+10,45.013
39,1.26,1.26,1261746000,933554909,0.35,22,1,4.20E+10,45.013
40,1.28,1.3,1262345850,933572415,0.35,22,1,4.20E+10,45.013
41,1.32,1.34,1262547000,933578251,0.35,22,1,4.20E+10,45.013
42,1.36,1.36,1263041550,933593961,0.35,22,1,4.20E+10,45.013
43,1.38,1.4,1263235950,933599797,0.35,22,1,4.20E+10,45.013
44,1.42,1.42,1263918600,933621343,0.35,22,1,4.20E+10,45.013
45,1.44,1.46,1264563000,933641093,0.35,22,1,4.20E+10,45.013
46,1.48,1.52,1265074650,933655906,0.35,22,1,4.20E+10,45.013
47,1.54,1.56,1266687450,933693612,0.36,22,1,4.20E+10,45.013
48,1.58,1.58,1268084700,933728624,0.36,22,1,4.20E+10,45.013
49,1.6,1.62,1268431200,933738499,0.36,22,1,4.20E+10,45.013
50,1.64,1.68,1270875600,933805381,0.36,22,1,4.20E+10,45.013
51,1.7,1.7,1271474100,933817950,0.36,22,1,4.20E+10,45.013
52,1.72,1.72,1272078900,933830518,0.36,22,1,4.20E+10,45.013
53,1.74,1.84,1272381300,933836803,0.36,22,1,4.20E+10,45.013
54,1.86,1.86,1272986100,933849371,0.36,22,1,4.20E+10,45.013
55,1.88,1.92,1273590450,933861940,0.36,22,1,4.20E+10,45.014
56,1.94,1.94,1274188050,933874059,0.36,22,1,4.20E+10,45.014
57,1.96,1.98,1274836950,933888872,0.37,22,1,4.20E+10,45.014
58,2,2,1276607250,933920293,0.37,22,1,4.20E+10,45.014